band,day,stage,genre,location,must_see,metal_archives,notes
Ossuary,"Saturday May 23, 2026",Soundstage,Death Metal,United States,3,https://www.metal-archives.com/bands/Ossuary/3540400806,
Terror Corpse,"Saturday May 23, 2026",Soundstage,Death Metal/Grindcore,United States,3,https://www.metal-archives.com/bands/Terror_Corpse/3540560360,
Gestation,"Saturday May 23, 2026",Soundstage,Goregrind,United States,2,https://www.metal-archives.com/bands/Gestation/3540533138,
Dead Void,"Saturday May 23, 2026",Soundstage,Death/Doom,Denmark,3,https://www.metal-archives.com/bands/Dead_Void/3540425292,
Laceration,"Saturday May 23, 2026",Angels Rock Bar,Death/Thrash,United States,3,https://www.metal-archives.com/bands/Laceration/116152,
Glorious Depravity,"Saturday May 23, 2026",Angels Rock Bar,,,,,
Desolus,"Saturday May 23, 2026",Angels Rock Bar,Black/Thrash,United States,2,https://www.metal-archives.com/bands/Desolus/3540544099,
Atavistic Decay,"Saturday May 23, 2026",Angels Rock Bar,Death/Doom,United States,3,https://www.metal-archives.com/bands/Atavistic_Decay/3540536982,
"Sarcófago performed by Gerald ""Incubus"" Minelli & the Laws","Sunday May 24, 2026",Market Place/Power Plant Live,Black/Thrash/Death,Brazil,1,https://www.metal-archives.com/bands/Sarc%C3%B3fago/2061,
Grave Old School Grave & Corpse,"Sunday May 24, 2026",Market Place/Power Plant Live,Death Metal,Sweden,3,https://www.metal-archives.com/bands/Grave/1020,
Death Angel Act III,"Sunday May 24, 2026",Market Place/Power Plant Live,Thrash ,United States,0,https://www.metal-archives.com/bands/Death_Angel/179,Will fucking Carroll
Dying Fetus Old school set - First 3 Albums,"Sunday May 24, 2026",Market Place/Power Plant Live,Brutal Death/Grindcore,United States,2,https://www.metal-archives.com/bands/Dying_Fetus/45,
Cancer Death Shall Rise,"Sunday May 24, 2026",Market Place/Power Plant Live,Death/Thrash,United Kingdom,3,https://www.metal-archives.com/bands/Cancer/695,
Blood Red Throne,"Sunday May 24, 2026",Market Place/Power Plant Live,Death Metal,Norway,2,https://www.metal-archives.com/bands/Blood_Red_Throne/808,
Unmerciful,"Sunday May 24, 2026",Market Place/Power Plant Live,Brutal Death Metal,United States,3,https://www.metal-archives.com/bands/Unmerciful/18384,
